index,close,VWAP,high,MA,average_price,low,tomorrow_high
2009-06-16 13:30:00,91.64,92.16999666666668,93.28999,90.97272545000031,92.43,91.58,92.33
2009-06-17 13:30:00,91.55,91.57,92.33,90.78652550000031,91.58,90.83,92.67
2009-06-18 13:30:00,92.21899,92.04633,92.67,90.6076704000003,91.96,91.25,92.7
2009-06-19 13:30:00,92.03999,92.08666333333332,92.7,90.42847035000031,92.11,91.52,91.19
2009-06-22 13:30:00,89.28,89.90666666666668,91.19,90.25472035000031,90.22,89.25,89.88
2009-06-23 13:30:00,89.35001,89.36000666666666,89.88,90.0793704000003,89.37,88.85001,91.08
2009-06-24 13:30:00,90.118,90.26600333333332,91.08,89.8950103500003,90.34,89.60001,92.17
2009-06-25 13:30:00,92.08,91.27333666666664,92.17,89.73931035000031,90.87,89.57001,92.24001
2009-06-26 13:30:00,91.84,91.78333666666668,92.24001,89.5799103500003,91.76,91.27,92.82001
2009-06-29 13:30:00,92.7,92.37334,92.82001,89.4158604000003,92.21,91.60001,93.06
2009-06-30 13:30:00,91.95,92.09333333333332,93.06,89.2451604000003,92.16,91.27,93.23
2009-07-01 13:30:00,92.33,92.59000333333334,93.23,89.10636040000033,92.72,92.21001,92.3624
2009-07-02 13:30:00,89.81,90.64413,92.3624,88.94491035000034,91.06,89.75999,89.92999
2009-07-06 13:30:00,89.8,89.46333,89.92999,88.81086035000033,89.29,88.66,89.82001
2009-07-07 13:30:00,88.06,88.62666999999999,89.82001,88.65081030000034,88.91,88.0,88.8
2009-07-08 13:30:00,88.0,87.93333333333334,88.8,88.47021030000035,87.9,87.0,88.89999
2009-07-09 13:30:00,88.17,88.32666333333331,88.89999,88.30451030000033,88.4,87.91,88.49001
2009-07-10 13:30:00,87.96001,87.93334333333333,88.49001,88.15156035000031,87.92,87.35001,90.17
2009-07-13 13:30:00,90.10200999999999,89.28733666666666,90.17,88.00742045000031,88.88,87.59,90.69
2009-07-14 13:30:00,90.61,90.34333333333336,90.69,87.8565205000003,90.21,89.73,93.50999
2009-07-15 13:30:00,93.25999,92.48316,93.50999,87.7185704000003,92.09,90.6795,94.50999
2009-07-16 13:30:00,94.14999,93.82666333333331,94.50999,87.6324203500003,93.66,92.82001,94.32001
2009-07-17 13:30:00,94.13,93.99666666666668,94.32001,87.5231203000003,93.93,93.53999,95.28999
2009-07-20 13:30:00,95.131,94.87033,95.28999,87.41847530000031,94.74,94.19,95.89999
2009-07-21 13:30:00,95.57001,95.29666666666668,95.89999,87.33707530000031,95.16,94.42,96.13
2009-07-22 13:30:00,95.55,95.52333333333333,96.13,87.26312530000033,95.51,94.89,98.08
2009-07-23 13:30:00,97.661,97.09033333333332,98.08,87.2278303000003,96.8,95.53,98.14
2009-07-24 13:30:00,98.06,97.63,98.14,87.2179803000003,97.42,96.69,98.39999
2009-07-27 13:30:00,98.35001,98.03000000000002,98.39999,87.22218040000033,97.87,97.34,98.37
2009-07-28 13:30:00,97.89,97.77333333333333,98.37,87.25813040000031,97.72,97.06,98.088
2009-07-29 13:30:00,97.65199,97.57332999999998,98.088,87.3038903500003,97.53,96.98,99.83
2009-07-30 13:30:00,98.67,99.03333666666668,99.83,87.2904903000003,99.22,98.60001,99.47
2009-07-31 13:30:00,98.81,98.88666666666666,99.47,87.28529025000033,98.92,98.38,100.53
2009-08-03 13:30:00,100.44,100.09333333333332,100.53,87.33739025000031,99.92,99.31,100.84
2009-08-04 13:30:00,100.7,100.43999999999998,100.84,87.37204025000031,100.31,99.78,100.855
2009-08-05 13:30:00,100.41,100.28166666666668,100.855,87.40804020000033,100.22,99.58,101.02
2009-08-06 13:30:00,99.89,100.11,101.02,87.41344020000031,100.22,99.42,102.03
2009-08-07 13:30:00,101.20200000000001,101.20733333333334,102.03,87.4401502000003,101.21,100.39,101.22
2009-08-10 13:30:00,100.99001,100.82667,101.22,87.49190025000033,100.74,100.27,100.61
2009-08-11 13:30:00,99.73,99.93333666666666,100.61,87.53210025000033,100.04,99.46001,101.56
2009-08-12 13:30:00,100.8,100.62333,101.56,87.6009003000003,100.53,99.50999,101.61
2009-08-13 13:30:00,101.57001,101.14666666666666,101.61,87.6890003500003,100.93,100.25999,101.60001
2009-08-14 13:30:00,100.78999,100.69666666666667,101.60001,87.72415035000033,100.65,99.7,98.95
2009-08-17 13:30:00,98.31,98.45833666666664,98.95,87.75030035000033,98.53,98.11501,99.44
2009-08-18 13:30:00,99.09,98.96000333333332,99.44,87.76425035000031,98.9,98.35001,100.3
2009-08-19 13:30:00,99.96001,99.49000666666666,100.3,87.7799004000003,99.26,98.21001,101.22
2009-08-20 13:30:00,100.99001,100.69333666666668,101.22,87.7993004500003,100.54,99.87,103.13
2009-08-21 13:30:00,102.97,102.57333333333335,103.13,87.81210045000033,102.38,101.62,103.95
2009-08-24 13:30:00,102.96001,103.16667000000002,103.95,87.84595050000033,103.27,102.59,104.25999
2009-08-25 13:30:00,103.16,103.45333,104.25999,87.90745050000031,103.6,102.94,103.64
