Date,tmr_high,tmr_low,y_hat_high,y_hat_low
2001-07-11,121.47000122070312,119.30999755859375,118.78388903886288,117.02926537931108
2001-07-16,121.94999694824219,119.83000183105469,121.995990784185,120.13670158622789
2001-07-18,122.9800033569336,120.76000213623047,121.91118496020677,120.24622280336145
2001-07-23,119.19999694824219,116.75,120.29474246354643,118.50971444895528
2001-07-31,122.69999694824219,121.55000305175781,122.35134596731713,120.42441334925714
2001-08-08,118.97000122070312,117.86000061035156,119.78241170117954,117.68943994881985
2001-08-21,117.43000030517578,115.77999877929688,116.98972598621239,114.40761879452441
2001-08-29,115.73999786376953,112.04000091552734,116.38244541682172,114.58041693752499
2001-08-31,116.16999816894531,113.37000274658203,114.70080900559418,112.59815222277562
2001-09-07,110.3499984741211,107.69999694824219,110.45517801300944,108.47739672057769
2001-09-10,106.4000015258789,100.0,110.73051496021985,108.88511868124881
2001-09-17,105.30000305175781,103.36000061035156,106.11195925920478,101.14706907246612
2001-09-19,101.80999755859375,98.55999755859375,103.48611557991795,99.37054048278391
2001-09-25,102.4000015258789,100.43000030517578,102.80377858192206,100.36719943508082
2001-10-01,105.58000183105469,103.6500015258789,104.705984100251,103.1778426566645
2001-10-03,108.97000122070312,106.75,107.72055187618919,105.77910022063526
2001-10-04,107.62000274658203,105.5199966430664,108.11496235558846,106.07485951823011
2001-10-09,108.55000305175781,105.5199966430664,107.22377586306055,105.32489878904357
2001-10-10,110.30000305175781,108.94999694824219,108.75476116195554,107.43244103621952
2001-10-16,111.1500015258789,107.6500015258789,110.40559859297657,108.71525425265064
2001-10-17,108.16000366210938,106.75,108.92171318049361,106.90610031169516
2001-10-24,110.5999984741211,106.73999786376953,109.71506199765768,107.85870274581715
2001-10-26,110.55000305175781,107.44999694824219,111.5958852618769,109.71500306930346
2001-11-02,111.08999633789062,109.94999694824219,109.78577549768598,108.0691810051041
2001-11-05,112.4800033569336,109.8499984741211,111.4534427143701,109.88690754783595
